order_id,customer_id,order_date,amount,status
101,1,2026-01-05,120.50,completed
102,1,2026-02-11,89.00,completed
103,2,2026-01-20,45.25,completed
104,3,2026-03-02,310.00,completed
105,3,2026-03-15,75.40,completed
106,4,2026-01-29,15.00,cancelled
107,5,2026-02-18,220.75,completed
108,5,2026-03-01,60.00,completed
109,6,2026-02-02,410.00,completed
110,7,2026-03-10,33.20,completed
111,7,2026-03-22,58.90,completed
112,8,2026-01-14,150.00,completed
113,8,2026-02-27,95.60,cancelled
114,2,2026-03-05,180.00,completed
